fips,population,area,density
18169,32252,412.43,79.7
18171,8352,364.68,23.3
18173,61149,384.82,155.1
18175,27878,513.73,55
18177,67671,401.74,171.5
18179,27862,368.09,75.1
18181,24453,505.13,48.8
18183,33403,335.57,99.2
19000,3107126,55857.13,54.5
19001,7454,569.27,13.5
19003,3875,423.44,9.5
19005,14038,639.08,22.4
19007,12661,497.29,25.9
19009,5794,442.96,13.8
19011,25680,716.27,36.4
19013,132897,565.77,231.7
19015,26433,571.57,46
19017,24721,435.48,55.7
19019,21038,571.02,36.7
19021,20578,574.92,35.2
19023,15006,580.13,25.6
19025,9866,569.97,17
19027,20562,569.44,36.6
19029,13448,564.27,24.7
19031,18411,579.44,31.9
19033,43254,568.31,77.7
19035,11836,576.91,20.9
19037,12264,504.38,24.7
19039,9217,431.17,21.5
19041,16515,567.24,29.4
19043,17692,778.54,23.3
19045,48051,694.92,70.7
19047,17228,714.19,23.9
19049,77400,588.45,112.4
19051,8781,502.19,17.4
19053,8263,531.88,15.9
19055,17398,577.76,30.7
19057,40255,416.12,96.9
19059,16935,380.61,43.8
19061,96370,608.31,154
19063,9990,395.88,26
19065,20343,730.81,28.6
19067,16077,500.63,32.6
19069,10436,581.97,18.4
19071,7022,511.15,14.6
19073,9200,569.57,16.4
19075,12375,501.86,24.8
19077,10722,590.62,18.5
19079,15117,576.75,27.2
19081,11027,571.01,19.9
19083,17311,569.31,30.8
19085,14324,696.85,21.4
19087,20217,434.33,46.4
19089,9449,473.25,20.2
19091,9640,434.35,22.6
19093,7042,431.51,16.4
19095,16375,586.46,27.9
19097,19482,636.04,31.2
19099,36872,730.42,50.4
19101,17325,435.51,38.7
19103,142287,614.04,213.1
19105,20454,575.62,35.9
19107,10231,579.18,18.1
19109,15222,972.72,16
19111,35286,517.52,69.3
19113,217751,716.88,294.6
19115,11161,401.77,28.3
19117,8701,430.59,20.7
19119,11683,587.65,19.7
19121,15609,561.01,27.9
19123,22370,570.86,39.2
19125,33365,554.53,60.1
19127,40866,572.5,71
19129,14831,437.44,34.4
19131,10779,469.13,23
19133,8996,694.07,13.3
19135,8001,433.72,18.4
19137,10421,424.1,25.3
19139,42903,437.47,97.7
19141,14056,573.04,25.1
19143,6218,398.68,16.2
19145,15496,534.94,29.8
19147,9099,563.84,16.7
19149,24874,862.89,29
19151,7138,577.24,12.7
19153,459862,573.8,750.5
19155,93128,950.28,98
19157,18668,584.93,32.3
19159,5051,535.5,9.6
19161,10035,575.01,18
19163,171387,458.09,360.7
19165,11948,590.78,20.6
19167,34681,768.33,43.9
19169,94073,572.82,156.3
19171,17451,721.01,24.6
19173,6143,531.9,11.9
19175,12516,423.65,29.6
19177,7468,484.79,15.6
19179,35212,431.83,82.5
19181,47956,569.83,81.1
19183,22070,568.84,38.2
19185,6395,525.44,12.2
19187,36955,715.62,53.1
19189,10559,400.49,27.1
19191,20768,689.87,30.5
19193,102271,872.83,117.1
19195,7624,400.12,19
19197,12840,580.42,22.8
20000,2904021,81758.72,34.9
20001,12909,500.3,26.7
20003,7883,579.65,14
20005,16513,431.17,39.3
20007,4897,1134.07,4.3
20009,27385,895.4,30.9
20011,14772,635.47,23.9
20013,9815,570.87,17.5
